timeClose,timeOpen,quote,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2022-05-01T23:59:59.999Z,2022-05-01T00:00:00.000Z,,2022-05-01T16:25:00.000Z,2022-05-01T01:38:00.000Z,37713.265089741,38627.857504864,37585.7873728754,38469.0939025425,27002760109.78,731986764311.88,2022-05-01T23:59:59.999Z
2022-05-02T23:59:59.999Z,2022-05-02T00:00:00.000Z,,2022-05-02T06:10:00.000Z,2022-05-02T18:45:00.000Z,38472.1871454262,39074.9717589518,38156.5619033136,38529.3278008977,32922642425.83,733170725790.51,2022-05-02T23:59:59.999Z
2022-05-03T23:59:59.999Z,2022-05-03T00:00:00.000Z,,2022-05-03T08:13:00.000Z,2022-05-03T20:23:00.000Z,38528.1100380674,38629.994974219,37585.6203126624,37750.4539152995,27326943244.26,718385701942.79,2022-05-03T23:59:59.999Z
2022-05-04T23:59:59.999Z,2022-05-04T00:00:00.000Z,,2022-05-04T19:19:00.000Z,2022-05-04T00:06:00.000Z,37748.0118484619,39902.9502136511,37732.0601966595,39698.3706196742,36754404490.11,755491473700.31,2022-05-04T23:59:59.999Z
2022-05-05T23:59:59.999Z,2022-05-05T00:00:00.000Z,,2022-05-05T05:20:00.000Z,2022-05-05T19:25:00.000Z,39695.746350719,39789.2830202912,35856.5161061082,36575.142132703,43106256317.32,696088266356.37,2022-05-05T23:59:59.999Z
2022-05-06T23:59:59.999Z,2022-05-06T00:00:00.000Z,,2022-05-06T00:08:00.000Z,2022-05-06T13:49:00.000Z,36573.1823550037,36624.3595960026,35482.1327440579,36040.9223501524,37795577489.27,685953792235.64,2022-05-06T23:59:59.999Z
2022-05-07T23:59:59.999Z,2022-05-07T00:00:00.000Z,,2022-05-07T11:23:00.000Z,2022-05-07T22:55:00.000Z,36042.5036939934,36129.9255204253,34940.8246733344,35501.9541442019,24375896405.9,675729532873.68,2022-05-07T23:59:59.999Z
2022-05-08T23:59:59.999Z,2022-05-08T00:00:00.000Z,,2022-05-08T00:00:00.000Z,2022-05-08T17:40:00.000Z,35502.9402038303,35502.9402038303,33878.9645692059,34059.2642505879,36763041910.24,648302121215.01,2022-05-08T23:59:59.999Z
2022-05-09T23:59:59.999Z,2022-05-09T00:00:00.000Z,,2022-05-09T01:22:00.000Z,2022-05-09T23:59:00.000Z,34060.0154816197,34222.0733234167,30296.9534000531,30296.9534000531,63355494961.42,576716899022.88,2022-05-09T23:59:59.999Z
2022-05-10T23:59:59.999Z,2022-05-10T00:00:00.000Z,,2022-05-10T06:46:00.000Z,2022-05-10T00:33:00.000Z,30273.654218841,32596.3078359205,29944.802737422,31022.9054122253,59811038817.27,590565398299.36,2022-05-10T23:59:59.999Z
2022-05-11T23:59:59.999Z,2022-05-11T00:00:00.000Z,,2022-05-11T10:16:00.000Z,2022-05-11T21:29:00.000Z,31016.1827523335,32013.4014927546,28170.4130858639,28936.3550311122,70388855817.93,550870071633.8,2022-05-11T23:59:59.999Z
